id,class_of,schoool,major,degree_level,grad_term,outcome,employer,position_country,position_city,position_state,salary,cont_edu,cont_edu_field,cont_edu_degree
1,2021,College of Science and Liberal Arts,"Science, Technology, and Society",Bachelor,5/18/2021,Continuing Education, ,,,,,,,
2,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education, ,USA,New York,NY,,,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
3,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Continuing Education,,USA,Providence,RI,,,Computing,Master's
4,2021,College of Science and Liberal Arts,Biochemistry,Bachelor,5/18/2021,Continuing Education,,USA,New York,NY,,,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
5,2021,Ying Wu College of Computing,Business and Information Systems,Bachelor,12/31/2020,Continuing Education,PSEG,USA,Newark,NJ,,,Management/Finance/Accounting,Master's
6,2021,College of Science and Liberal Arts,Biology,Master,5/18/2021,Continuing Education,Scribeamerica,USA,Newark,NJ,,,,
7,2021,College of Science and Liberal Arts,Forensic Science,Bachelor,5/18/2021,Continuing Education,Publicis Media Internship,,,,,,,
8,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education,Publicis Media Internship,,,,,,,
9,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Continuing Education,,,,,,,,
10,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education, ,USA,Newark,NJ,,,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
11,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Continuing Education, ,USA,Newark,NJ,,,Engineering,Master's
12,2021,Newark College of Engineering,Computer Engineering,Master,12/31/2020,Continuing Education, ,USA,Athens,GA,,,Engineering,"Doctoral Degree (Ph.D., Ed.D,)"
13,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Continuing Education, ,USA,Newark,NJ,,,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
14,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education,Acme Markets,USA,NY,NY,,,Science,Master's
15,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education,Envision Physician Services,USA,NY,NY,,,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
16,2021,Newark College of Engineering,Mechanical Engineering,Master,5/18/2021,Continuing Education,Franklin Miller Inc,,,,,,,
17,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Continuing Education,"HS Design - Innovation & Idea Development, A Steripack Company Internship",USA,Newark,NJ,,,Engineering,Master's
18,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Continuing Education,New Jersey Institute Of Technology,USA,Newark,NJ,,,Computing,Master's
19,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Continuing Education,New Jersey Institute Of Technology,USA,Newark,NJ,,,,
20,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,8/31/2020,Continuing Education,New Jersey Institute Of Technology,USA,Newark,NJ,,,,
21,2021,Biomedical Engineering,Biomedical Engineering,Bachelor,5/18/2021,Continuing Education,New Jersey Institute Of Technology,USA,Newark,NJ,,,Engineering,Master's
22,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education,New Jersey Institute Of Technology,USA,Newark,NJ,,,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
23,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Continuing Education,New Jersey Institute Of Technology,USA,Newark,NJ,,,Computing,Master's
24,2021,Newark College of Engineering,Computer Technology,Bachelor,5/18/2021,Continuing Education,Radial Inc. Contract,,,,,,Computing,Master's
25,2021,Martin Tuchman School of Management,Management,Master,5/18/2021,Continuing Education,Whole Foods Market,,,,,,,
26,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education,Drexel University College,USA,Philadelphia,PA,,,,
27,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Continuing Education,,USA,,,,,,
28,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Continuing Education,"Hub Engineering, PLLC",,,,,,,
29,2021,Newark College of Engineering,Engineering Management,Master,12/31/2020,Continuing Education,,,,,,,,
30,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Continuing Education,,,,,,,,
31,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Continuing Education,Sugaright CSC Sugar,,,,,,,
32,2021,College of Science and Liberal Arts,Environmental Science,Master,8/31/2020,Continuing Education,New Jersey Institute Of Technology,USA,Newark,NJ,,,,
33,2021,Newark College of Engineering,Chemical Engineering,Bachelor,5/18/2021,Internship,Infineum USA L.P.,,,,,,,
34,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Internship,"Langan Engineering and Environmental Services, Inc.",,,,,,,
35,2021,Newark College of Engineering,Civil Engineering,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
36,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
37,2021,Newark College of Engineering,Mechanical Engineering,Master,12/31/2020,Currently seeking employment, ,,,,,,,
